Title,URL,Date,Content
Lần đầu tiên phát hiện chủng cúm gia cầm A/H5N8 tại Việt Nam,http://kenh14.vn/lan-dau-tien-phat-hien-chung-cum-gia-cam-a-h5n8-tai-viet-nam-20210702201011289.chn,2021-07-02,"

Trước đó, từ ngày 29/6, trại gà của anh Nguyễn Huy Long, thôn Bãi Cát, xã Vũ Oai, thành phố Hạ Long (Quảng Ninh) đã có tình trạng gà chết bất thường và chết tăng dần, với tổng số thiệt hại lên đến hơn 200 con.Trung tâm Dịch vụ kỹ thuật nông nghiệp thành phố Hạ Long đã lấy 3 mẫu xét nghiệm cho kết quả dương tính với virus cúm gia cầm A/H5N8. Đây là chủng cúm lần đầu tiên ghi nhận tại Việt Nam. Trên thế giới đã từng ghi nhận các ổ chủng cúm A/H5N8 tại châu Âu, Trung Quốc, Trung Đông và Bắc Phi. Ít nhất 7 người tại Nga được xác định dương tính với chủng virus cúm A/H5N8 do lây nhiễm từ gia cầm nhiễm bệnh. Ảnh minh họaÔng Trần Xuân Đông, Chi cục Trưởng Chi cục Chăn nuôi và Thú y tỉnh Quảng Ninh cho biết: “Chúng tôi đã phối hợp với CDC Quảng Ninh lấy mẫu giám sát của chủ hộ và những người tiếp xúc với gia cầm trong 1-2 ngày trước đó. Vì đây là chủng mới, có nguy cơ lây lan và phát tán mầm bệnh trên người nên cần đánh giá nguy cơ, phát tán, lây lan của dịch bệnh.Hiện nay, tất cả gia cầm mắc bệnh và có nguy cơ trong ổ dịch đã được chúng tôi tiêu hủy, thực hiện phun tiêu độc khử trùng. Những gia đình gần đó có gia cầm không có hiện tượng ốm chết thì chúng tôi yêu cầu nuôi nhốt, cách ly theo an toàn sinh học và xử lý các phế phẩm khác theo quy định”.
"
"Thêm ca nhiễm cúm gia cầm H5N8 độc lực cao, Hàn Quốc đứng trước nguy cơ tái bùng phát dịch",http://kenh14.vn/them-ca-nhiem-cum-gia-cam-h5n8-doc-luc-cao-han-quoc-dung-truoc-nguy-co-tai-bung-phat-dich-20210324090550477.chn,2021-03-24,"

Việc phát hiện thêm ca nhiễm cúm H5N8 độc lực cao nói trên diễn ra trong bối cảnh Hàn Quốc đang trong cuộc chiến chống lại dịch cúm gia cầm kéo dài trong thời gian qua.Theo Bộ Nông nghiệp, Lương thực và Nông thôn Hàn Quốc, trường hợp nhiễm cúm gia cầm mới nhất này, được xác nhận là chủng cúm H5N8, được phát hiện tại một trang trại vịt ở huyện Jangheung, tỉnh Nam Jeolla. Đây được coi là trường hợp nhiễm bệnh đầu tiên được ghi nhận kể từ ngày 13/3, khi một trang trại trứng ở tỉnh Chungcheong Bắc xác nhận có ca nhiễm cúm gia cầm.Tiêu hủy gia cầm tại một trang trại trứng ở Naju, cách thủ đô Seoul 355 km về phía Nam, vào ngày 11/3 (Ảnh: Yonhap)Kể từ tháng 11/2020, Hàn Quốc đã báo cáo 107 trường hợp mắc bệnh cúm gia cầm có nguồn gốc từ các trang trại chăn nuôi gia cầm. Ngoài ra, 229 trường hợp nhiễm cúm gia cầm khác đã được phát hiện có nguồn gốc từ các loài chim hoang dã, chim di cư.Giá bán trứng trung bình ở Hàn Quốc đã tăng 44% trong tuần qua so với cùng kỳ một năm trước đó. Các nhà chức trách Hàn Quốc đã tiêu hủy hơn 29 triệu con gia cầm theo quy định nhằm ngăn chặn dịch bệnh.
"
Virus cúm gia cầm mới có khả năng lây truyền từ người sang người,http://kenh14.vn/virus-cum-gia-cam-moi-co-kha-nang-lay-truyen-tu-nguoi-sang-nguoi-20210313102309797.chn,2021-03-13,"

Trả lời phỏng vấn hãng thông tấn Tass, người đứng đầu Cơ quan giám sát, bảo vệ quyền lợi và sức khoẻ người tiêu dùng Liên bang Nga (Rospotrebnadzor) Anna Popova thông báo rằng virus cúm gia cầm A (H5N8) được phát hiện ở một số người Nga vào tháng 2 vừa qua, có khả năng đột biến nhanh chóng và có thể lây truyền từ người sang người. Người đứng đầu Cơ quan giám sát, bảo vệ quyền lợi và sức khoẻ người tiêu dùng Nga (Rospotrebnadzor) Anna Popova (Ảnh: Tass)Theo bà Anna Popova các dự báo cho thấy mức độ xác suất cho kịch bản này khá cao, đồng thời nhấn mạnh rằng hiện nay Nga có thời gian để phát triển các thử nghiệm và tạo ra một loại vaccine để ứng phó cho một kịch bản như vậy.""Thật may mắn nếu như không cần đến vaccine. Nhưng nếu cần, chúng ta sẽ sẵn sàng cho việc này. Chúng ta đã có thể dự báo và cảnh báo cho cộng đồng thế giới rằng về một mối đe dọa như vậy"".Trước đó, vào tháng 2/2021, các nhà khoa học tại Trung tâm Vector đã xác nhận những trường hợp đầu tiên trên thế giới nhiễm virus cúm gia cầm A (H5N8). Virus được phát hiện ở 7 nhân viên của một trang trại gia cầm ở miền Nam nước Nga.
"
WHO khuyến cáo Việt Nam cần đề cao cảnh giác nhiễm cúm A (H5N8) từ gia cầm sang người,http://kenh14.vn/who-khuyen-cao-viet-nam-can-de-cao-canh-giac-nhiem-cum-a-h5n8-tu-gia-cam-sang-nguoi-20210303155814695.chn,2021-03-03,"

Sau khi phát hiện 7 công nhân ở trang trại chăn nuôi gà tại Nga bị nhiễm virus cúm A (H5N8), Tổ chức Lương thực và Nông nghiệp của Liên Hợp Quốc (FAO) và Tổ chức Y tế thế giới (WHO) kêu gọi Chính phủ Việt Nam và cộng đồng cần cảnh giác với khả năng lây nhiễm cúm A (H5N8) sang người.Đây là báo cáo đầu tiên về sự lây nhiễm H5N8 từ gia cầm sang người mặc dù virus này đã lưu hành trên gia cầm và chim hoang dã từ năm 2016. Tất cả 7 ca mắc ở người đều không có triệu chứng. Cho đến nay, chưa có bằng chứng nào về việc virus này gây bệnh nặng ở người hay lây truyền từ người sang người, do vậy những trường hợp bệnh này là do gia cầm bị nhiễm bệnh lây truyền sang người.Tại Việt Nam, Chương trình giám sát của Cục Thú y chưa từng phát hiện thấy virus H5N8. Bắt đầu từ năm 2021, Cục Thú y sẽ tăng cường xét nghiệm virus H5N8 trong Chương trình giám sát cúm gia cầm quốc gia. ""Về mặt kỹ thuật, virus H5N8 có chung đặc điểm kháng nguyên với virus H5N6 đang lưu hành tại Việt Nam, do vậy vắc xin cúm gia cầm hiện tại được sử dụng tại Việt Nam vẫn tiếp tục phát huy hiệu quả"", TS. Pawin Padungtod, Điều phối viên Kỹ thuật Cấp cao, FAO Việt Nam, cho biết.Dù virus này đã lưu hành trên gia cầm và chim hoang dã từ năm 2016 nhưng đây là báo cáo đầu tiên về sự lây nhiễm H5N8 từ gia cầm sang người.TS. Satoko Otsu, Điều phối viên nhóm Các Bệnh Truyền nhiễm và Tình trạng Y tế Khẩn cấp của WHO cho biết: ""Mặc dù nguy cơ lây nhiễm sang người đối với virus cúm gia cầm A (H5N8) ở Việt Nam là rất thấp, nhưng chúng ta vẫn phải cảnh giác và tiếp tục thực hiện các biện pháp bảo vệ cá nhân để phòng chống bệnh cúm gia cầm"".Lây nhiễm cúm gia cầm ở người do tiếp xúc trực tiếp với gia cầm sống hoặc chết bị nhiễm bệnh. ""Chúng ta nên tiếp tục giám sát phối hợp cả ở lĩnh vực y tế và thú y. Cộng đồng có thể tham gia phòng, chống dịch bằng cách báo cáo các trường hợp gia cầm bị bệnh hoặc chết càng sớm càng tốt và đảm bảo thực hành các biện pháp phòng bệnh cá nhân"", TS. Otsu nói thêm.Các vụ dịch cúm gia cầm độc lực cao A (H5N8) đã được báo cáo ở Nga, châu Âu, Trung Quốc, Trung Đông và Bắc Phi trong những tháng gần đây, nhưng chỉ ở gia cầm và chim hoang dã. Các virus cúm gia cầm độc lực cao khác, chẳng hạn như H5N1, H5N6 và H7N9, đã được lây truyền từ động vật sang người.Cúm gia cầm độc lực cao H5N1 đã gây tử vong cho 64 người Việt Nam kể từ khi virus này được phát hiện tại Việt Nam vào năm 2003, và từ năm 2014 tới nay, Việt Nam không ghi nhận thêm trường hợp tử vong nào, nhưng các ổ dịch trên gia cầm vẫn thường xuyên được phát hiện và phải tiêu hủy nhiều đàn gà và vịt.Tại Việt Nam, Chương trình giám sát của Cục Thú y chưa từng phát hiện thấy virus H5N8FAO và WHO Việt Nam khuyến nghị các hành vi sau:- Đối với người chăn nuôi gia cầmTăng cường các biện pháp an toàn sinh học tại khu vực chăn nuôi để giảm thiểu nguy cơ virus xâm nhập;Tuân thủ đúng lịch tiêm phòng và đảm bảo dinh dưỡng tốt cho sức khỏe gia cầm;Báo cáo các trường hợp gia cầm chết bất thường cho trưởng thôn hoặc cơ quan thú y địa phương và không cho phép khách vào khu vực chăn nuôi.- Đối với những người buôn bán gia cầm và những người bán gia cầm tại chợChỉ thu gom gia cầm từ nguồn rõ ràng và bán ở những khu vực được phép trong chợ;Không bán gia cầm bên ngoài chợ;Luôn rửa tay bằng nước sạch và xà phòng sau khi tiếp xúc với gia cầm;Sử dụng giày dép riêng do các trang trại chăn nuôi gia cầm cung cấp khi bạn cần vào khu  vực chăn nuôi;Luôn rửa sạch giày dép của bạn khi bạn rời khỏi chợ có bán gia cầm.- Đối với bác sĩ thú y và những người tham gia vào công tác đáp ứng dịch:Cần luôn sử dụng phương tiên phòng hộ cá nhân khi tiếp xúc với gia cầm nhiễm hay nghi ngờ nhiễm bệnh để giảm thiểu nguy cơ bị lây bệnh.- Đối với cộng đồngThường xuyên rửa tay trước khi chế biến thực phẩm, trong quá trình nấu ăn và sau khi tiếp xúc với động vật.Nấu chín kỹ thức ăn, đặc biệt là thịt, gia cầm và trứng.Rửa sạch và làm vệ sinh tất cả các bề mặt và dụng cụ được sử dụng để chế biến thực phẩm.Không ăn ""tiết canh"" (một món ăn của Việt Nam chủ yếu được làm từ tiết của vịt).Tránh tiếp xúc với động vật ốm hoặc chết.Nếu đã tiếp xúc với gia cầm có khả năng bị nhiễm bệnh, hãy liên hệ với cơ sở y tế gần nhất khi bạn có các triệu chứng đường hô hấp.Báo cáo ngay khi thấy gia cầm ốm chết bất thường cho cơ quan thú y địa phương.
"
9.000 chiếc chân gà nhập lậu thời điểm dịch cúm gia cầm bùng phát,http://kenh14.vn/9000-chiec-chan-ga-nhap-lau-thoi-diem-dich-cum-gia-cam-bung-phat-2021012110405107.chn,2021-01-21,"

Trong bối cảnh dịch cúm gia cầm bùng phát thành ổ dịch tại 7 tỉnh (Hà Nội, Quảng Ninh, Hải Dương, Nam Định, Ninh Bình, Phú Yên và Long An), lực lượng Quản lý thị trường tỉnh Lạng Sơn đã có văn bản tham mưu cho Ban chỉ đạo 389 tỉnh chỉ đạo các lực lượng chức năng tăng cường tập trung triển khai quyết liệt, đồng bộ các giải pháp kiểm soát, phòng, chống bệnh cúm gia cầm lây lan diện rộng.Ngày 19/1, tổ Quản lý đường bộ huyện Lộc Bình thuộc đội Quản lý thị trường số 3 phối hợp với phòng PC03, Công an tỉnh Lạng Sơn truy bắt các đối tượng sử dụng xe gắn máy che biển số chở các bao tải dứa có nghi vấn chở hàng hóa vi phạm tại khu vực thôn Chi Ma, xã Yên Khoái, huyện Lộc Bình.Khi phát hiện có sự truy đuổi, các đối tượng vừa chạy xe, vừa liều lĩnh cắt bỏ dây buộc hàng hóa để bỏ chạy. Lực lượng chức năng đã tiến hành thu giữ 6 bao tải dứa chứa hàng hóa đưa về trụ sở đội Quản lý thị trường số 3 để tiến hành kiểm tra.Qua kiểm tra thực tế, phát hiện trong bao tải dứa chứa 9.000 chiếc chân gà thành phẩm đã qua tẩm ướp gia vị, hút chân không, có nhãn hàng hóa bằng tiếng Trung Quốc (300kg). Toàn bộ số hàng hóa trên không có hóa đơn, chứng từ chứng minh nguồn gốc xuất xứ. Đội Quản lý thị trường số 3 đã lập hồ sơ vụ việc tạm giữ và tiến hành phối hợp bàn giao cho cơ quan chức năng thực hiện tiêu hủy theo quy định của pháp luật.Lô hàng giày dép nhập lậu được bắt giữ cùng ngàyCùng ngày, nhận được tin báo về lô hàng hóa nhập lậu đang được tập kết tại khu vực đường Trần Phú, phường Bắc Cường, TP. Lào Cai, lực lượng chức năng tỉnh đã tiến hành kiểm tra nơi cất giấu tang vật tại kho có địa chỉ số 650 đường Trần Phú.Kết quả khám phát hiện 2.038 đôi giày dép do nước ngoài sản xuất. Chủ lô hàng là bà Lý Thị Tú Anh, sinh năm 1998, trú tại xã Khai Trung, huyện Lục Yên,tỉnh Yên Bái.Tại thời điểm kiểm tra, bà Tú Anh không xuất trình được các giấy tờ chứng minh nguồn gốc hợp pháp của lô hàng. Đội Quản lý thị trường số 5 đã ra quyết định tạm giữ toàn bộ số hàng hóa để tiếp tục xử lý theo quy định.
"
"Phát hiện cúm gia cầm độc lực cao, Hàn Quốc cấm ra vào các trại gia cầm trong 24 giờ",http://kenh14.vn/phat-hien-cum-gia-cam-doc-luc-cao-han-quoc-cam-ra-vao-cac-trai-gia-cam-trong-24-gio-202012271745285.chn,2020-12-27,"

Quyết định trên được đưa ra sau một loạt ca nhiễm cúm gia cầm độc lực cao . Theo đó, tất cả phương tiện và nhân viên trong các trại nuôi gia cầm này sẽ bị cấm đi lại trong khi cơ quan chức năng tiến hành khử trùng. Đây là lần thứ hai trong tháng này, lệnh cấm đi lại được ban hành đối với các trại gia cầm.Những người vi phạm lệnh này có thể phải đối mặt với một năm tù giam hoặc phạt tiền 10 triệu won (khoảng 9.000 USD).Tuần trước, Hàn Quốc đã xác nhận thêm 3 ca cúm gia cầm độc lực cao, nâng tổng số ca nhiễm trong năm nay lên 22 ca trong bối cảnh lo ngại về dịch bệnh lây lan trên toàn quốc ngày càng tăng.Theo các chuyên gia y tế, cúm gia cầm độc lực cao rất dễ lây lan, có thể khiến gia cầm mắc bệnh và chết. Cuối tháng 11 vừa qua, Hàn Quốc thông báo bùng phát cúm gia cầm độc lực cao tại nước này lần đầu tiên trong vòng 32 tháng. Trường hợp này được phát hiện tại một trang trại nuôi vịt ở thành phố Jeongeup, tỉnh Bắc Jeolla.Trước đó, vào tháng 10, cơ quan chức năng Hàn Quốc đã phát hiện chủng cúm này ở chim hoang dã tại thành phố Cheonan, cách thủ đô Seoul 92km về phía Nam.Cho đến nay Hàn Quốc đã phải tiêu hủy 6,3 triệu con gia cầm từ các trang trại bị nhiễm bệnh cũng như các khu vực lân cận. Luật pháp Hàn Quốc quy định phải tiêu hủy số gia cầm được nuôi trong bán kính 3km xung quanh trang trại nhiễm cúm gia cầm độc lực cao.
"
Trung Quốc đóng cửa chợ sau khi ghi nhận 1 trường hợp mắc cúm gia cầm,http://kenh14.vn/trung-quoc-dong-cua-cho-sau-khi-ghi-nhan-1-truong-hop-mac-cum-gia-cam-20201221190400214.chn,2020-12-21,"

Theo thông báo của Trung tâm dịch vụ thị trường huyện Ninh Viễn, tỉnh Hồ Nam, miền Trung Nam Bộ Trung Quốc, một khu chợ chuyên mua bán gia cầm sống tại địa phương này đã phải đóng cửa từ 8h sáng ngày 19/12 mà chưa có ngày mở cửa trở lại. Tất cả các cửa hàng bên trong và xung quanh chợ phải dừng mọi hoạt động giao dịch và giết mổ gia cầm sống, đồng thời phải thực hiện việc làm vệ sinh, khử trùng và kiểm tra hàng ngày. Ảnh minh họa: ReutersNguyên nhân của việc đóng cửa chợ được nhân viên của Trung tâm Kiểm soát bệnh tật huyện Ninh Viễn cho biết là do vài ngày trước địa phương này xuất hiện một bệnh nhân nữ nhiễm cúm gia cầm. Tuy nhiên, nhân viên này không cho biết trường hợp trên đã mắc bệnh như thế nào và có liên quan gì đến khu chợ bị đóng cửa.Hồ Nam là địa phương thường xuyên xảy ra cúm gia cầm ở Trung Quốc. Hồi tháng 2 đầu năm, dịch cúm gia cầm H5N1 cũng đã được phát hiện tại đây đúng vào thời điểm dịch Covid-19 đang bùng phát dữ dội tại Hồ Bắc, tỉnh nằm ngay sát Hồ Nam.Những ngày này, dịch cúm gia cầm cũng đang lây lan tại Nhật Bản, quốc gia láng giềng của Trung Quốc, trong bối cảnh nước này tiếp tục ghi nhận thêm nhiều ca Covid-19. Được biết, tính đến nay, cúm gia cầm đã xuất hiện tại 12 tỉnh của Nhật Bản.
"
Cúm gia cầm độc lực cao lây lan sang tỉnh thứ 10 của Nhật Bản,http://kenh14.vn/cum-gia-cam-doc-luc-cao-lay-lan-sang-tinh-thu-10-cua-nhat-ban-20201214210723083.chn,2020-12-14,"

Khoảng 11.000 con gia cầm bị tiêu hủy sau khi dịch cúm gia cầm được phát hiện tại một trang trại ở TP. Higashiomi, tỉnh Shiga, phía Tây Nam Nhật Bản, Bộ Nông nghiệp cho biết vào cuối tuần qua.Ngày 14-12, Bộ Nông nghiệp cho biết một đợt bùng phát khác lại diễn ra ở tỉnh Kagawa, nơi đã xảy ra dịch vào tháng 11 vừa qua.Theo Tổ chức Lương thực và Nông nghiệp Liên hợp quốc (FAO), đợt bùng phát ở Nhật Bản và nước láng giềng Hàn Quốc là một trong hai dịch cúm gia có cầm độc lực cao (HPAI) tấn công gia cầm trên toàn thế giới.Cả 2 dòng cúm lưu hành ở châu Á và châu Âu đều bắt nguồn từ các loài chim hoang dã, FAO cho biết.Bà Madhur Dhingra, một quan chức thú y cấp cao của FAO, nói với hãng thông tấn Reuters: ""Loại virus được tìm thấy ở Nhật Bản rất gần với các loại virus gần đây của Hàn Quốc và do đó liên quan đến virus ở châu Âu từ đầu năm 2020. Tuy nhiên, dòng virus này không phải loại hiện đang lưu hành ở châu Âu"".Chính quyền đang phun thuốc ở một trại chăn nuôi gia cầm ở Nhật Bản (Ảnh: Reuters)Bà nói: ""Điều này có nghĩa là chúng ta hiện có hai đợt dịch HPAI H5N8 riêng biệt ở Đông Á và châu Âu"".FAO đã đưa ra cảnh báo đối với các cơ quan y tế châu Phi về việc tăng cường giám sát các trang trại để tránh sự lây lan của chủng bệnh châu Âu gần đây.Tại Nhật Bản, có 10 trong số 47 tỉnh của đất nước này đã bị ảnh hưởng trong đợt bùng phát dịch bệnh. Khoảng 3 triệu con gia cầm bị tiêu hủy cho đến nay, đây là một con số kỷ lục.Trước đó, tất cả các trang trại ở Nhật Bản đã được lệnh khử trùng cơ sở vật chất và kiểm tra chế độ vệ sinh, đồng thời đảm bảo rằng lưới ngăn chim hoang đã được lắp đặt đúng cách, các quan chức Bộ Nông nghiệp nói với hãng thông tấn Reuters trong tuần này.Nhật Bản đã ngừng nhập khẩu gia cầm từ 7 quốc gia, bao gồm cả Đức.Theo Bộ Nông nghiệp Nhật Bản, Nhật Bản có đàn gà đẻ trứng khoảng 185 triệu con và đàn gà lấy thịt là 138 triệu con.
"
"Chống dịch cúm gia cầm, Hàn Quốc cấm di chuyển tại tất cả các trang trại chăn nuôi",http://kenh14.vn/chong-dich-cum-gia-cam-han-quoc-cam-di-chuyen-tai-tat-ca-cac-trang-trai-chan-nuoi-20201213090703746.chn,2020-12-13,"

Theo đó, tất cả các trang trại chăn nuôi và cơ sở sản xuất gia súc, gia cầm, kể cả xe cộ, nhân viên không được phép di chuyển. Nhà chức trách sẽ tiến hành phun tẩy trùng trong thời gian này. Chống cúm gia cầm ở Hàn Quốc (Ảnh minh họa: Fortune)Hàn Quốc đã ghi nhận một số ca mắc cúm gia cầm từ các trang trại địa phương trên toàn quốc, trong đó có các tỉnh Nam và Bắc Jeolla, Gyeonggi, Bắc Chungcheong và Bắc Gyeongsang. Ngày 11/12 vừa qua, Hàn Quốc xác nhận thêm 2 trường hợp mắc cúm gia cầm, nâng tổng số ca lên 10.Chủng cúm gia cầm ở Hàn Quốc là chủng độc lực cao, dễ lây nhiễm, có thể gây chết ở gia cầm. Sau 32 tháng, Hàn Quốc đã ghi nhận trường hợp mắc đầu tiên ở chim hoang dã hồi cuối tháng 10, tại Cheonan, cách thủ đô Seoul 90 km về hướng Nam./.
"
